Comment,Designator,Footprint,LCSC,Quantity
500mA,F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C135341,1
10k,R9,R_0603_1608Metric,C13564,1
5.1k,"R7,R8",R_0603_1608Metric,C14677,2
1nF,C10,C_0603_1608Metric,C1588,1
100nF,"C11,C12,C13,C14,C15,C17",C_0603_1608Metric,C1590,6
JST SH,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
10uF,C16,C_0603_1608Metric,C1691,1
PRTR5V0U2X,U6,SOT-143_Handsoldering,C2827688,1
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C3001293,1
AP2112K-3.3,U5,SOT-23-5_HandSoldering,C3021085,1
SKQGABE010,SW2,SW_Push_SPST_NO_Alps_SKRK,C561519,1
D,"D_1,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_2,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_3,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_4,D_40,D_41,D_42,D_44,D_5,D_6,D_7,D_8,D_9",D_SOD-123,C64898,43
STM32F072C8Tx,U4,LQFP-48_7x7mm_P0.5mm,C80488,1
MountingHole_Pad,H6,MountingHole_2.2mm_M2_Pad,,1
